iban,amount,date
CR31CSLX2157111958475792,"€9656,67",18/02/2022
HX66TEDY9432557008721813,"€3379,67",22/05/2022
UQ09JZFW3099511194281460,"€9159,12",21/02/2020
WG55EHPY8034430200816222,"€1214,98",23/11/2020
WG55EHPY8034430200816222,"€7259,71",29/09/2020
CR31CSLX2157111958475792,"€370,56",29/05/2021
IA64AZRF0974124059119540,"€3127,34",28/08/2022
JL39VSWB6759168364148560,"€1033,75",07/12/2022
WB77IWTL7479335717337104,"€3911,64",30/10/2020
TJ01RJYX8915131919658516,"€6193,88",09/06/2021
UN01NSQD8758182264641524,"€4976,07",30/03/2022
GE38QKDI3669855462568638,"€5980,73",28/10/2020
CR31CSLX2157111958475792,"€8914,71",26/09/2020
WY43SADC8995874367768131,"€153,10",13/11/2022
HY36LHZR3643502386939455,"€9159,32",22/04/2022
UQ09JZFW3099511194281460,"€1890,24",22/02/2021
KR77UJZD7132263261730708,"€5911,46",11/05/2020
RB96QOGG9814514798263406,"€5561,21",09/07/2021
XI25KPTM6042498694249300,"€8112,02",11/11/2021
KX21COEK1555182209833532,"€2228,43",02/03/2020
RO78OROD0594985604344531,"€6792,22",09/02/2021
MB71QQXT2596515408023571,"€3125,10",27/05/2020
MU67FMKH9598284189685918,"€8638,93",19/11/2020
ZT15HFSW6569840988100756,"€7596,87",04/03/2021
JD37GEUH5940847826443166,"€1190,53",16/01/2021
MW63ZIOO0588568130697102,"€9049,76",09/05/2020
PH94XAOK3381728775018070,"€4476,13",12/05/2022
DE70AHRX6356064073233659,"€7686,04",15/03/2020
JD37GEUH5940847826443166,"€4668,54",01/01/2021
MC01IEHV8501188035626016,"€103,36",09/05/2020
RW16JLAK0388910387065777,"€9012,60",02/09/2021
HF37RMOJ8246383870328745,"€1941,94",09/06/2020
MU67FMKH9598284189685918,"€22,43",28/05/2022
GE52XFEW2209056170643350,"€913,17",21/10/2020
WB77IWTL7479335717337104,"€3188,99",25/08/2021
LU00QWLD2601460964897893,"€1557,01",28/05/2022
UQ09JZFW3099511194281460,"€59,80",19/11/2022
LP57GXIN3056172558480196,"€24,84",27/12/2020
PG29ITFN6814697311412996,"€985,01",25/05/2022
IS65NOOT7036669168746884,"€7122,54",18/07/2020
ZI40WWBF9188737626049510,"€742,02",28/08/2020
DA04GCZV4378609746146065,"€5755,97",22/09/2021
XI25KPTM6042498694249300,"€5107,08",09/03/2022
LG40BJYQ2783542351843180,"€2146,79",18/03/2020
PG29ITFN6814697311412996,"€8684,97",15/12/2022
KL92DVFG3211071211689811,"€8691,67",27/03/2022
AX41UZMB6176142035203942,"€2490,91",13/03/2020
MB71QQXT2596515408023571,"€4711,27",01/11/2020
DC32IFVW1036082114231444,"€8338,03",12/01/2022
DE70AHRX6356064073233659,"€4500,12",06/06/2020
IS66KDVL6727524589966948,"€1691,03",11/10/2020
SQ68TMZF8698667528323620,"€9664,28",14/01/2022
HJ81JUWR1495896049004272,"€7306,54",17/09/2020
BP29TPUJ6310621823872564,"€3141,30",05/09/2021
ZA10QTHR7787100159561975,"€3729,51",28/06/2022
WG55EHPY8034430200816222,"€4736,83",25/01/2021
NV11IYUJ0247872457522336,"€2965,77",31/03/2022
GJ55FOHC5561545662515367,"€5709,76",17/10/2021
WB77IWTL7479335717337104,"€1390,21",22/01/2020
IX63EVCR9164658456456181,"€7284,14",01/02/2020
TJ01RJYX8915131919658516,"€597,21",27/07/2020
DA04GCZV4378609746146065,"€1844,67",03/02/2020
ZA10QTHR7787100159561975,"€631,21",20/04/2022
DE70AHRX6356064073233659,"€8415,75",28/12/2022
TQ42FQGK7504668908121082,"€1194,40",19/09/2021
PE04NCIT8887865280077429,"€4120,76",24/09/2021
UQ09JZFW3099511194281460,"€5986,36",11/02/2022
HX66TEDY9432557008721813,"€3122,98",22/03/2021
VA37QMCG8437852428929762,"€4404,56",01/05/2020
NV11IYUJ0247872457522336,"€2435,13",01/07/2021
HJ81JUWR1495896049004272,"€5715,00",25/12/2021
ND29ASZK3936747590760083,"€5599,65",13/02/2020
JL39VSWB6759168364148560,"€337,92",04/05/2020
DC32IFVW1036082114231444,"€6060,67",06/01/2020
LU00QWLD2601460964897893,"€8504,79",10/04/2020
LP57GXIN3056172558480196,"€7855,26",02/03/2021
KR77UJZD7132263261730708,"€3838,15",25/05/2021
MG63MBOA0937923648077673,"€8278,23",12/11/2020
MG00YLSI7343127168356658,"€7987,87",05/09/2020
ZX06NZJH0310079067754103,"€6098,69",22/11/2022
AX41UZMB6176142035203942,"€8412,83",17/07/2020
BP29TPUJ6310621823872564,"€3257,56",29/02/2020
JR00QGBS4796525914237521,"€1622,32",25/10/2022
MB71QQXT2596515408023571,"€9777,58",18/07/2021
DE30ZEUF5582227351032491,"€9454,42",04/07/2020
HY36LHZR3643502386939455,"€70,99",07/04/2020
EV55TMCH8919184385596396,"€7483,74",09/07/2022
LG40BJYQ2783542351843180,"€6158,97",15/10/2020
JL39VSWB6759168364148560,"€9988,45",18/06/2021
RW16JLAK0388910387065777,"€9256,08",09/05/2020
ZT15HFSW6569840988100756,"€6329,21",25/01/2021
XI25KPTM6042498694249300,"€9648,76",24/08/2021
RW16JLAK0388910387065777,"€4642,10",11/11/2020
HY36LHZR3643502386939455,"€66,62",30/03/2022
PG29ITFN6814697311412996,"€2995,77",07/10/2021
LQ72NGWI2810989838856681,"€7747,98",05/11/2021
PG29ITFN6814697311412996,"€2007,39",19/12/2020
MG63MBOA0937923648077673,"€9236,60",11/02/2022
GJ55FOHC5561545662515367,"€1898,26",08/07/2021
KX21COEK1555182209833532,"€2005,47",01/06/2022
HJ81JUWR1495896049004272,"€6782,48",07/10/2022
DE70AHRX6356064073233659,"€892,85",18/10/2021
EU56HOYA8868219525668712,"€4125,15",03/02/2020
GJ55FOHC5561545662515367,"€8472,95",01/11/2020
JR00QGBS4796525914237521,"€480,07",25/01/2022
XA28NAIG6798026498738774,"€882,88",31/03/2020
WY43SADC8995874367768131,"€7955,80",09/06/2022
ND29ASZK3936747590760083,"€6756,26",27/01/2020
WJ40UIUQ2618112143886576,"€121,97",19/07/2021
DA04GCZV4378609746146065,"€3680,96",26/05/2020
SM44WYFN9387020646075746,"€3,70",07/11/2021
DK16NRGZ3074443210958974,"€1796,06",31/07/2022
EQ89KOZE1588776990762580,"€9323,28",19/02/2020
PE04NCIT8887865280077429,"€8185,01",16/12/2020
UL87SMJY0995132841158778,"€1438,19",08/11/2021
VA37QMCG8437852428929762,"€8462,66",04/09/2022
ZT15HFSW6569840988100756,"€8114,04",25/11/2021
LG40BJYQ2783542351843180,"€5297,57",10/05/2021
DK16NRGZ3074443210958974,"€2516,68",25/03/2022
RJ92VCJA0240979129986579,"€6152,81",01/08/2022
TQ42FQGK7504668908121082,"€2090,51",29/06/2021
MU67FMKH9598284189685918,"€6081,11",31/12/2022
EV55TMCH8919184385596396,"€770,92",20/02/2021
DA04GCZV4378609746146065,"€5170,14",23/07/2022
MU67FMKH9598284189685918,"€1104,38",08/08/2021
OC06NIHQ3445682540896305,"€2644,14",29/10/2022
DE70AHRX6356064073233659,"€6801,88",03/04/2021
